,Pred_Apple___Apple_scab,Pred_Apple___Black_rot,Pred_Apple___Cedar_apple_rust,Pred_Apple___healthy,Pred_Blueberry___healthy,Pred_Cherry_(including_sour)___Powdery_mildew,Pred_Cherry_(including_sour)___healthy,Pred_Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Pred_Corn_(maize)___Common_rust_,Pred_Corn_(maize)___Northern_Leaf_Blight,Pred_Corn_(maize)___healthy,Pred_Grape___Black_rot,Pred_Grape___Esca_(Black_Measles),Pred_Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Pred_Grape___healthy,Pred_Orange___Haunglongbing_(Citrus_greening),Pred_Peach___Bacterial_spot,Pred_Peach___healthy,"Pred_Pepper,_bell___Bacterial_spot","Pred_Pepper,_bell___healthy",Pred_Potato___Early_blight,Pred_Potato___Late_blight,Pred_Potato___healthy,Pred_Raspberry___healthy,Pred_Soybean___healthy,Pred_Squash___Powdery_mildew,Pred_Strawberry___Leaf_scorch,Pred_Strawberry___healthy,Pred_Tomato___Bacterial_spot,Pred_Tomato___Early_blight,Pred_Tomato___Late_blight,Pred_Tomato___Leaf_Mold,Pred_Tomato___Septoria_leaf_spot,Pred_Tomato___Spider_mites Two-spotted_spider_mite,Pred_Tomato___Target_Spot,Pred_Tomato___Tomato_Yellow_Leaf_Curl_Virus,Pred_Tomato___Tomato_mosaic_virus,Pred_Tomato___healthy
True_Corn_(maize)___healthy,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Grape___Black_rot,0,0,0,0,0,0,0,0,0,0,0,234,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
True_Grape___Esca_(Black_Measles),0,0,0,0,0,0,0,0,0,0,0,9,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
True_Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0,0,0,0,0,0,0,0,0,0,0,4,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Grape___healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
True_Orange___Haunglongbing_(Citrus_greening),1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
True_Peach___Bacterial_spot,1,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,408,1,2,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0
True_Peach___healthy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"True_Pepper,_bell___Bacterial_spot",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,3,0,1,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0
"True_Pepper,_bell___healthy",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,283,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
True_Potato___Early_blight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
True_Potato___Late_blight,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,8,188,2,0,0,0,1,0,0,2,4,1,2,0,0,0,0,0
True_Potato___healthy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Raspberry___healthy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Soybean___healthy,0,1,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,1,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Squash___Powdery_mildew,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0
True_Strawberry___Leaf_scorch,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,203,0,0,1,0,0,1,0,0,0,0,0
True_Strawberry___healthy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,97,0,0,0,0,0,0,0,0,0,0
True_Tomato___Bacterial_spot,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,2,0,0,0,0,0,0,408,3,1,0,0,0,2,8,0,0
True_Tomato___Early_blight,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,4,156,7,0,1,0,5,2,1,0
True_Tomato___Late_blight,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,2,12,0,0,1,1,1,0,1,16,353,3,4,0,2,2,0,1
True_Tomato___Leaf_Mold,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,162,4,2,1,1,2,1
True_Tomato___Septoria_leaf_spot,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,2,1,0,2,0,0,0,1,0,3,0,1,2,3,10,325,0,6,0,4,0
True_Tomato___Spider_mites Two-spotted_spider_mite,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,3,0,295,16,7,2,6
True_Tomato___Target_Spot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,3,1,1,2,8,256,0,1,7
True_Tomato___Tomato_Yellow_Leaf_Curl_Virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,3,0,1050,0,0
True_Tomato___Tomato_mosaic_virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,68,1
True_Tomato___healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,312
